1	2.840909090909091
2	2.6
3	1.4
4	1.75
5	4.0
6	5.5
8	3.6666666666666665
9	3.0
a	5.83264887063655
b	5.650602409638554
c	6.363905325443787
d	6.090775988286969
e	6.2957446808510635
f	5.6421875
g	5.670103092783505
h	5.460162601626016
i	5.7492625368731565
j	5.3
k	4.324626865671642
l	5.294545454545455
m	5.131782945736434
n	5.625407166123779
o	4.746177370030581
p	6.404137931034483
q	5.78494623655914
r	6.303819444444445
s	5.16015625
t	5.455230125523013
u	5.554973821989528
v	6.150442477876106
w	5.188053097345133
x	2.0
y	4.405172413793103
z	6.5
